,기업명,업종분류,사원수,설립연도,매출액
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",17년 (2007년 설립),"1조8,283억7,378만원"
0,토스플레이스,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",81명,2년 (2022년 설립),-원
0,인스피언,시스템ㆍ응용 소프트웨어 개발 및 공급업,97명,14년 (2010년 설립),133억416만원
0,누트컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,6년 (2018년 설립),"9,137만원"
0,무신사,사무 지원 서비스업,"1,561명",12년 (2012년 설립),"4,024억4,065만원"
0,월급쟁이부자들,그 외 기타 교육기관,51명,6년 (2018년 설립),"239억9,000만원"
0,가이던스,광고 대행업,3명,21년 (2003년 설립),-원
0,바티에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,1년 (2023년 설립),-원
0,엠지알브이,부동산 관리업,81명,6년 (2018년 설립),"32억1,425만원"
0,구름,시스템ㆍ응용 소프트웨어 개발 및 공급업,123명,11년 (2013년 설립),"30억3,402만원"
0,앙트러리얼리티,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),-원
0,브레이브컴퍼니,통신 판매업,24명,3년 (2021년 설립),-원
0,모요,시스템ㆍ응용 소프트웨어 개발 및 공급업,37명,3년 (2021년 설립),-원
0,발란,통신 판매업,64명,9년 (2015년 설립),"521억7,961만원"
0,레몬클라우드,그 외 기타 정보 서비스업,,6년 (2018년 설립),-원
0,비욘드메디슨,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2년 (2022년 설립),-원
0,에임,-,,5년 (2019년 설립),-원
0,컬리,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,"2,633명",10년 (2014년 설립),"1조5,579억5,521만원"
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,무신사,사무 지원 서비스업,"1,561명",12년 (2012년 설립),"4,024억4,065만원"
0,트웰브랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,4년 (2020년 설립),-원
0,무신사,사무 지원 서비스업,"1,561명",12년 (2012년 설립),"4,024억4,065만원"
0,알타바그룹,게임 소프트웨어 개발 및 공급업,51명,5년 (2019년 설립),-원
0,스퀘어스,시스템ㆍ응용 소프트웨어 개발 및 공급업,28명,3년 (2021년 설립),-원
0,핌아시아,통신 판매업,55명,10년 (2014년 설립),"309억1,706만원"
0,딥세일즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,2년 (2022년 설립),-원
0,플랫브레드,광고 대행업,29명,6년 (2018년 설립),-원
0,배움,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,24년 (2000년 설립),"69억8,554만원"
0,에피소든,포털 및 기타 인터넷 정보 매개 서비스업,13명,3년 (2021년 설립),-원
0,서커스컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,11년 (2013년 설립),"22억2,380만원"
0,핌아시아,통신 판매업,55명,10년 (2014년 설립),"309억1,706만원"
0,세이프에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,1년 (2023년 설립),-원
0,스페클립스,자연과학 연구개발업,34명,9년 (2015년 설립),"2,720만원"
0,로지스팟,그 외 기타 운송관련 서비스업,169명,17년 (2007년 설립),280억836만원
0,이노소니언,그 외 기타 분류 안된 제품 제조업,17명,11년 (2013년 설립),"33억8,144만원"
0,위시빈,그 외 기타 정보 서비스업,8명,6년 (2018년 설립),"1,545만원"
0,라텔앤드파트너즈,광고 대행업,26명,4년 (2020년 설립),"33억2,945만원"
0,에임비랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),-원
0,케이비자,법무관련 서비스업,6명,4년 (2020년 설립),-원
0,아더월드,가공식품 도매업,,5년 (2019년 설립),-원
0,웰로,그 외 기타 정보 서비스업,,3년 (2021년 설립),-원
0,유에이치씨,외국식 음식점업,79명,7년 (2017년 설립),-원
0,윙크컴퍼니,"생활용 섬유제품, 의복, 의복 액세서리 및 모피제품 도매업",18명,4년 (2020년 설립),-원
0,웜블러드,그 외 기타 정보 서비스업,6명,1년 (2023년 설립),-원
0,어반데이터랩,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,25명,5년 (2019년 설립),-원
0,체인앱시스,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,4년 (2020년 설립),-원
0,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,7년 (2017년 설립),"105억3,971만원"
0,아인잡,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,5년 (2019년 설립),-원
0,투스카이,"항공기, 우주선 및 보조장치 제조업",28명,6년 (2018년 설립),-원
0,엠몬스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,23명,7년 (2017년 설립),"18억4,054만원"
0,큐리어슬리,포털 및 기타 인터넷 정보 매개 서비스업,48명,12년 (2012년 설립),"51억7,108만원"
0,이노그리드,시스템ㆍ응용 소프트웨어 개발 및 공급업,177명,18년 (2006년 설립),"161억8,940만원"
0,딥세일즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,2년 (2022년 설립),-원
0,플랫브레드,광고 대행업,29명,6년 (2018년 설립),-원
0,발란,통신 판매업,64명,9년 (2015년 설립),"521억7,961만원"
0,미트박스글로벌,식료품 소매업,82명,10년 (2014년 설립),"317억4,225만원"
0,아파트아이,포털 및 기타 인터넷 정보 매개 서비스업,42명,2년 (2022년 설립),-원
0,아이헤이트플라잉버그스,일반 교습학원,473명,12년 (2012년 설립),"31억9,935만원"
0,하이,구조용 금속제품 제조업,,23년 (2001년 설립),-원
0,엠포스,방사선 장치 및 전기식 진단 기기 제조업,15명,5년 (2019년 설립),"30억1,927만원"
0,엠몬스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,23명,7년 (2017년 설립),"18억4,054만원"
0,리코,부동산 개발 및 공급업,,7년 (2017년 설립),-원
0,에이치비엠피,시스템ㆍ응용 소프트웨어 개발 및 공급업,,10년 (2014년 설립),"1억6,212만원"
0,크래프트테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,72명,8년 (2016년 설립),23억770만원
0,멘티스코,시스템ㆍ응용 소프트웨어 개발 및 공급업,61명,6년 (2018년 설립),33억774만원
0,딜랏,통신 판매업,3명,1년 (2023년 설립),-원
0,퀀팃,시스템ㆍ응용 소프트웨어 개발 및 공급업,,5년 (2019년 설립),"8억4,519만원"
0,만나컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,29명,4년 (2020년 설립),-원
