,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
209,아데나소프트웨어,2016년 8월 11일,"247억 2,629만원 (2022)",116 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울 강남구 테헤란로 207 14층 (역삼동,아가방빌딩)지도보기",//www.adenasoft.com
210,엔에이치엔커머스,2003년 1월 9일,"334억 6,598만원 (2022)",213 명 재직중,소프트웨어·솔루션·ASP,중견기업,"서울특별시 구로구 디지털로26길 72 2,3층  NHN커머스(구로동,NHN한국사이버결제)지도보기",//www.nhn-commerce.com
211,핵클,2020년 7월 3일,"5억 8,434만원 (2022)",25 명 재직중,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구 논현로75길 8 5층 (역삼동)지도보기,//www.hackle.io/ko
212,하이브,2005년 2월 4일,"5,598억 1,354만원 (2022)",743 명 재직중,문화·스포츠·엔터테인먼트,중견기업,서울특별시 용산구 한강대로 42 (한강로3가)지도보기,//hybecorp.com/www.hybe.co
213,한화비전,2018년 4월 2일,"8,040억 8,711만원 (2022)",895 명 재직중,전기·전자·반도체,대기업,경기도 성남시 분당구 판교로319번길 6 한화테크윈(삼평동)지도보기,//www.hanwha-security.com
214,르몽,2015년 12월 29일,-,50 명 재직중,식음료·외식(프랜차이즈),중소기업,,
215,아일로,2009년 1월 1일,-,7 명 재직중,섬유·의복·모피,중소기업,"서울특별시 강남구 선릉로 820 2층 201호(청담동,남한강빌딩)지도보기",//the_aisle_official
216,두나무,2012년 4월 3일,-,-,인터넷·포털·컨텐츠·게임,중견기업,"서울특별시 서초구 강남대로 369 (서초동,에이플러스에셋타워)지도보기",//www.dunamu.com
217,케이티넥스알,2007년 1월 31일,"103억 7,826만원 (2017)",59 명 재직중,소프트웨어·솔루션·ASP,대기업,서울특별시 서초구 효령로 176 케이티방배빌딩 비동 (방배동)지도보기,//www.ktnexr.com
218,인프랩,2017년 4월 6일,"175억 7,695만원 (2022)",65 명 재직중,교육·연구및개발,중소기업,"경기도 성남시 분당구 대왕판교로 660 A동 405호 (삼평동,유스페이스1)지도보기",//www.inflearn.com
219,페칭,2019년 12월 19일,"8,891만원 (2022)",6 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 서초구 사평대로55길 33 301호 (반포동,진석빌딩)지도보기",//www.fetching.co.kr
220,마인드허브,2019년 11월 5일,"2억 6,255만원 (2022)",2 명 재직중,소프트웨어·솔루션·ASP,중소기업,경기도 안양시 동안구 시민대로327번길 11-41 307호 (관양동)지도보기,//mindhub.ai
221,시제,2019년 1월 1일,"336억 1,004만원 (2022)",10 명 재직중,개인서비스,중소기업,,
222,비디오몬스터,2015년 9월 18일,"10억 2,751만원 (2022)",24 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 중구 을지로 55 (을지로2가,하나은행별관빌딩) 교원명동빌딩 5층지도보기",//www.videomonster.com
223,체커,2016년 11월 25일,120억 377만원 (2022),-,소프트웨어·솔루션·ASP,중소기업,"서울 강서구 마곡중앙6로 21 917호 (마곡동,이너매스1차)지도보기",//sqlgate.com
224,갤럭시아머니트리,1994년 10월 5일,"1,101억 8,842만원 (2022)",148 명 재직중,소프트웨어·솔루션·ASP,대기업,"서울특별시 강남구 광평로 281 12층 1501호 (수서동,수서빌딩)지도보기",//www.galaxiamoneytree.co.kr
225,제노솔루션,-,-,-,용역·인력알선,소기업,,
226,에바,2018년 11월 16일,"72억 4,255만원 (2022)",23 명 재직중,전기·전자·반도체,중소기업,"경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호지도보기",//www.evar.co.kr
227,라이드,-,-,-,네트워크·통신,,,
228,네이처프라임,2018년 5월 9일,"157억 7,370만원 (2022)",18 명 재직중,도매·상품중개,중소기업,경기도 포천시 가산면 가산로96번길 44-1 네이처프라임지도보기,//www.natureprime.co.kr
229,뱅크샐러드,2012년 7월 2일,"43억 7,092만원 (2022)",203 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 영등포구 여의대로 108 43, 44층(여의도동,파크원)지도보기",//www.banksalad.com
230,플레어랩스,2022년 4월 15일,-,1 명 재직중,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구 테헤란로2길 27 패스트파이브 강남5호점지도보기,//flarelane.co.kr
231,번개장터,2022년 7월 4일,"1,498만원 (2022)",5 명 재직중,쇼핑몰·전자상거래·오픈마켓,중소기업,,
232,피알앤디컴퍼니,2014년 12월 24일,-,64 명 재직중,모바일·무선,중소기업,"서울특별시 서초구 서초대로74길 14 (서초동,The Asset) 8층지도보기",//www.prnd.co.kr
233,카비,2009년 8월 28일,100억원,100 명 재직중,도매·상품중개,중소기업,경기 성남시 수정구 복정동 652-10지도보기,//carbee.co.kr/
234,이온어스,2020년 2월 4일,"12억 9,961만원 (2022)",18 명 재직중,전기·전자·반도체,중소기업,,
235,위메이드,2012년 2월 14일,"23억 8,968만원 (2016)",-,부동산업,중소기업,"서울특별시 강남구 봉은사로 129 1709호 (논현동,거평타운)지도보기",//wemade.pro
236,플래티어,2005년 2월 24일,"499억 5,714만원 (2022)",278 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울 송파구 법원로9길 26 D동 6층 (문정동,에이치비지니스파크)지도보기",//www.plateer.com
237,씨엔알리서치,2022년 8월 9일,-,-,의약·보건·사회복지,중소기업,,
238,뮤직카우,2016년 3월 16일,"82억 2,526만원 (2022)",90 명 재직중,금융상품중개업,중소기업,서울 마포구 토정로5길 17 3층  4층 5층 (합정동)지도보기,//www.musicow.com
